#TAG,NAME IN REPO (or git url),PURPOSE (should be a verb phrase to sound right while installing)
,xorg-server,"is the graphical server. This first one may take a while as it pulls many other dependencies first on clean installs."
,xorg-xwininfo,"allows querying information about windows."
,xorg-xinit,"starts the graphical server."
,polkit,"manages user policies."
,ttf-fantasque-sans-mono,"provides the sans and serif fonts."
,ttf-font-awesome,"provides extended glyph support."
A,lf-git,"is an extensive terminal file manager."
,ueberzug,"enables previews in the lf file manager."
,bc,"is a mathematics language used for the dropdown calculator."
,xcompmgr,"is for transparency and removing screen-tearing."
,xorg-xprop,"is a tool for detecting window properties."
,arandr,"allows the user to customize monitor arrangements."
,dosfstools,"allows your computer to access dos-like filesystems."
,libnotify,"allows desktop notifications."
,dunst,"is a suckless notification system."
,exfat-utils,"allows management of FAT drives."
,sxiv,"is a minimalist image viewer."
,xwallpaper,"sets the wallpaper."
,ffmpeg,"can record and splice video and audio on the command line."
,ffmpegthumbnailer,"creates thumbnail previews of video files."
,gnome-keyring,"serves as the system keyring."
A,gtk-theme-arc-gruvbox-git,"gives the dark GTK theme."
,python-qdarkstyle,"provides a dark Qt theme."
,neovim,"a tidier vim with some useful features"
,mpd,"is a lightweight music daemon."
,mpc,"is a terminal interface for mpd."
,mpv,"is the patrician's choice video player."
,man-db,"lets you read man pages of programs."
,firefox,"is a web browser."
A,arkenfox-user.js,"provides hardened security settings for Firefox and Librewolf to avoid Mozilla spyware and general web fingerprinting."
,noto-fonts,"is an expansive font package."
,noto-fonts-emoji,"is an emoji font."
,ntfs-3g,"allows accessing NTFS partitions."
,wireplumber,"is the audio system."
,pipewire-pulse,"gives pipewire compatibility with PulseAudio programs."
,pulsemixer,"is an audio controller."
A,sc-im,"is an Excel-like terminal spreadsheet manager."
,maim,"can take quick screenshots at your request."
A,abook,"is an offline addressbook usable by neomutt."
,unclutter,"hides an inactive mouse."
,unzip,"unzips zips."
,xclip,"allows for copying and pasting from the command line."
,xdotool,"provides window action utilities on the command line."
,yt-dlp,"can download any YouTube video (or playlist or channel) when given the link."
,zathura,"is a pdf viewer with vim-like bindings."
,zathura-pdf-mupdf,"allows mupdf pdf compatibility in zathura."
,poppler,"manipulates .pdfs and gives .pdf previews and other .pdf functions."
,mediainfo,"shows audio and video information and is used in the file browser."
,atool,"manages and gives information about archives."
,fzf,"is a fuzzy finder tool used for easy selection and location of files."
,bat,"can highlight code output and display files and is used to generate previews in the file browser."
,xorg-xbacklight,"enables changing screen brightness levels."
A,zsh-fast-syntax-highlighting-git,"provides syntax highlighting in the shell."
A,task-spooler,"queues commands or files for download."
A,simple-mtpfs,"enables the mounting of cell phones."
A,htop-vim,"is a graphical and colorful system monitor."
G,https://github.com/Cirelon/slstatus.git,"serves as the modular status bar."
G,https://github.com/Cirelon/dmenu.git,"runs commands and provides a UI for selection."
G,https://github.com/Cirelon/dwm.git,"is the window manager."
A,mutt-wizard-git,"is a light-weight terminal-based email system."
,slock,"allows you to lock your computer, and quickly unlock with your password."
,socat,"is a utility which establishes two byte streams and transfers data between them."
,moreutils,"is a collection of useful unix tools."
,blueman,"is a bluetooth manager."
,flameshot,"is a screenshot app."
,picom,"fixes tearing"
,signal-desktop,"is a messaging app."
,keepassxc,"is a password manager."
,remmina,"is a remote desktop client."
,discord,"is a messaging app."
,steam,"is valve's game distribution platform."
,pavucontrol,"is an audio control interface."
,bashtop,"is a system monitor."
,yubioath-desktop,"is an app to generate MFA codes from YubiKeys."
,clipmenu,"is a clipboard manager."
A,webapp-manager,"is a program to make sites into apps."
A,uxplay,"is an airplay client."
,thefuck,"thefuck?."
,wine,"is to run windows apps on linux."
,winetricks,"is to help wine."
,ttf-jetbrains-mono,"is for additional fonts."
,nano,"is a basic text editor."
,alacritty,"is a terminal emulator."
,exa,"is a replacement for ls."
A,teams,"is Microsoft's messaging app."
A,autofs,"is a kernel based automounter."
A,prismlauncher-bin,"is a minecraft launcher."
,ttf-linux-libertine,"- additional fonts."
,iwd,"is an internet wireless daemon."
,dhcpcd,"is a DHCP daemon."
,python-pywal," is to generate colourschemes from wallpapers."
,feh," is a suckless image viewer."
,pamixer,"is a command line audio mixer."
